wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
5,3,0,7,10,0,1,7,4,0.25,43,1.0,1,0.921052632,0.36,1,2,7.4,1,0.6,0,-1.3721125001271828,0.8940292996826974,-0.02312226519958963,-1.1311782624596773,0.9568045053235879,1.3558862847072746,1.0131254111516859,-0.5672537250902298,0.14836249517263872,-0.8096864003678204,0.5655136384243119,1.6132980505995478,-0.09452546972372679,0.31819921472582563,0.8634115769826006,-0.06796600931509462,-0.03537357267213506,0.47451633962610684,0.027597109832160165,0.45585982765934924,-0.19711764405857732,-1.8400700289779912,1.3671825018895565,0.3056001215061873,-0.811756616862159,-0.21305670098766707,0.9871031732171854,0.2015537645198742,-0.8488077593715786,0.5614872180965065,0.37647646393643736,0.42551275220632795,-0.7062775389330919,0.5708060970699184,-0.5828234450470133,-0.6967316348795758,-0.5516953510291223,-0.039612021207770416,0.9918030131759629,-0.5365415018854708,1.435431150925046,0.27671582656699734,-0.45181758339409483,0.5515952822791937,0.24462306289770994,0.9235092512377914,-0.7680261134166201,-0.9806787221943662,-1.186474229613055,-0.6571754713165189,1.0230005543462295,0.9033645423276685,-0.3531540643676684,0.2677945270794211,0.10788869058872694,0.7708420775362103,0.2060378532701121,-0.19429867554291197,1.6370704673835492,-1.572316833016675,-0.5281134599194199,1.3727140175860333,-2.1782971592258167,0.40205966496088774,1.6325061651987833,0.8988857598582213,0.014414967602941212,0.7098904489247678,-0.24086697465477633,0.7049200625970433,-0.11130987245229543,1.017365457698184,0.7193504270777102,-0.5989357824263849,0.06772241192193305,-0.24597424614770128,0.01003164685481988,-1.472567379000576,-1.0754864067988463,0.3944777629292262,-0.24173517540157952,-0.006123112004027486,-0.5299560029910199,-0.09932701801989613,1.5170726911613743,-0.3585440778781739,1.028605570405184,-0.5361790097333091,0.6632076274413939,0.3256467376938372,-0.12057280686453019,-0.08796538979008066,0.3820622437388275,-0.006248656929740563,-0.7666566505724872,-0.005368668459673229,1.2213063071610903,-0.6450392215564734,-0.5796898374392185,-0.1436685828502345
4,1,0,3,5,4,1,2,3,0.666666667,17,1.0,1,0.0,0.5,0,0,3.0,1,0.5,0,-1.0211769940394981,0.16503810749556527,-0.013218047079876347,-0.431734350571346,0.21960781285596812,1.2099746993289475,0.7197511960495178,-0.14291699322664342,0.09391936931164521,-0.4000233595701173,0.6072098455456825,1.5726177925925948,0.07129527592514849,0.1257303465460507,0.8325814018016671,0.0136612492818087,0.8503016570422615,0.7052773037915773,-0.0032512800451938184,0.5115776319088451,-0.39267775684182726,-1.2611907716750996,1.1582970518665574,0.36585877764489483,-0.8510351970196953,-0.20827583670827934,0.688794489781579,0.3217498031298329,-0.42693723469985395,0.12274035108929715,0.897270416019477,-0.08058768059535952,-0.6870873580705129,0.8557404766233667,-0.5226535549747571,0.5200513967835543,-0.11154495502978742,-0.3873592780788964,0.5816133708866378,-0.09319908093251884,1.2251048463637018,0.11847687101419706,-0.7600080665094123,0.8146278312194292,0.6805375197691735,1.0941938760473144,-0.25158916593575104,-0.27801076195136704,-0.2199819048984377,-0.3887547023558216,0.8842716617323245,0.7927021077478164,-0.18728163037591644,0.4534495809958348,0.046513921272983656,0.43403175697600316,0.36282440775939323,-0.30104527139234505,0.606901529646072,-0.7896187988295565,-0.7532894615006944,0.3884912616857253,-1.3935709791697533,-0.0781992259021109,0.8697333803378553,-0.16185549797769422,-0.10936245524066206,0.4628001658643651,0.270126075670869,0.1364945022269947,-0.018530784506064112,0.10384438498847685,1.3643808448356531,-0.6278325471061642,0.22256204217591896,0.18472378747417853,-0.09465589312366604,-1.0872788049890159,-0.8793808468668114,0.7566344937408872,0.12337439861686716,-0.024096078484199805,-0.16889941557608887,-0.2933042574883279,1.7922712899821767,-0.12828403749520245,0.6018981344169922,-0.39940634707081635,-0.016638496545414085,-0.15214837293164032,-0.06372060466880614,0.33374475791690195,0.7396471316901406,-0.11239283605684429,-0.48887935367805,0.2585026643964759,0.7266957683567846,-0.4107685512055918,-0.6549080468623529,0.17100615919745066
20,4,0,26,95,144,2,26,13,0.842105263,433,1.0,0,0.727272727,0.19736842100000002,4,5,20.3,3,1.0,0,-1.8582025396190633,1.1926379686865491,0.15150523441782082,-1.184743480146038,1.1503538302974037,1.4792961054067573,1.1889178828030171,-0.3735132480246964,-0.08334940497364333,-0.594255663899468,0.15651500447786654,1.4551909261431901,-0.6627431531505258,1.0400680467102341,0.6273862450188354,-0.4969228164261839,-0.2564118145686442,-0.19297779180545568,-0.508335879800782,0.5603330685115919,0.28510934149914285,-1.7284113179531695,1.2920985158960951,0.41893780698979133,-1.0094962955770423,-0.40986630425279735,0.6169222364584478,0.08709162976818235,-0.6447174374188508,0.2767718257921959,0.08526706920739903,0.9820922599538733,0.35088111588301707,0.4036679620723127,-0.37618744485682,-1.8298845604471166,-0.8973262738962386,0.13821620153196773,0.9831132186238573,-0.5426704743420288,1.316213918287663,-0.36819743848838193,-0.5295325846781965,0.6626871901323863,0.09499063275537573,0.6259655742977402,-0.6836688284153292,-1.0586864450744877,-1.418466704361661,-0.8357946084911813,1.445010447957774,1.1526441481966672,-0.068991968347708,-0.13105368316664465,-0.1359444986809235,0.8059051304726242,-0.497313029474568,-0.36030319451784487,2.561024104035691,-2.1474776866187035,-0.4238258909605279,1.9647159745621685,-2.4048480721606977,1.3102778085843247,2.33007170328337,1.4881952605556727,0.43484576171022554,1.1973600546033507,-0.08159857243575884,1.0335855933899394,0.29328017102066617,1.475184303301382,-0.36159371425624615,-0.1905081788142827,0.34013997447653666,-0.41241384393555974,-0.18221438383061342,-1.3473605665623938,-1.4011398237845563,-0.019219762603381353,-0.07534352381175674,0.05702781645770624,-0.8535937176998581,0.1261584982167272,0.8721846564926481,-0.17861986170150804,0.4097493690804636,-0.4345438074767636,0.5831801087952567,1.1745542922096555,-0.6169542424713912,-0.32086754348102237,0.9838275646163526,0.23580613153018312,-0.505264323580678,-0.40373792548962156,1.0249574778401396,-0.7579053099472167,-0.6832304221140703,-0.02950024414818611
3,2,0,8,22,3,2,6,2,2.0,165,0.0,0,0.75,0.666666667,1,3,54.0,15,5.3333,1,-1.8551389963640863,1.1303097679624081,0.4143873664647703,-0.8915495608786254,1.2532520749339855,1.4759265660251075,1.1654540943625118,-0.25257597802814674,-0.2840039280464806,-0.2639845868373902,0.009624687856237886,1.464257580866873,-0.8759341187524303,1.1781984175730948,0.672826439281037,-0.3025924865583061,-0.5310409857759866,-0.10841028656478197,-0.6256051774336513,0.7120427465883823,0.42449483245910397,-1.9421713425282907,1.1599117430590529,0.5454785042500279,-1.0271431074315251,-0.4465473301118096,0.4285722145062439,0.2751950732976573,-0.4780525645461044,0.1934583113681802,-0.1044714406230859,1.0262436676827262,0.950891622549934,-0.08306270171212819,-0.2891407004923422,-2.0673931385232915,-0.7772632796145809,0.022179234509857,0.8687387733175853,-0.5404135762667425,1.4157733290510377,-0.5758417567689288,-0.6405089945857588,0.7330279040593505,0.09463697962262538,0.5348662012766183,-0.37265374413690805,-0.7319204760169945,-1.6150337245847086,-1.5906038516339307,1.5824028957916187,1.5144559118207803,0.1930780643068475,-0.29053205032527646,-0.2753909319944561,0.8021592231660006,-0.5490672095284171,-0.10475545035934411,3.044217072327721,-2.2429940845633034,-0.47554433751210956,1.6432918518942474,-2.505606831997787,1.6915415050828038,2.6453236806322664,1.033719653810238,0.4588085244628005,1.1301796043780064,0.27122255862582556,1.1040142331457803,0.24189838342932302,1.4654398713074532,-0.9422183049499917,0.23037574676729733,0.4414391815953279,-0.45755520044967324,-0.08951001435348142,-1.4080259330930187,-1.2085280967290557,0.007221707668890915,-0.09661652889450405,-0.02695159153946164,-1.251980200202278,0.14236904958237454,0.41810318824335374,0.22133771521409795,-0.025856417833708567,-0.5124814442545337,0.6286578940428482,1.4056460543641225,-0.7966294226576102,-0.5438202256359391,1.7123957005610888,0.1823282567399262,-0.46446526722035214,-0.5334670114612895,1.3013545666930908,-0.7705579797721361,-0.9768218037946467,0.37643090307609856
8,1,0,25,20,22,22,3,6,0.571428571,176,1.0,0,0.0,0.25,0,0,20.875,1,0.75,1,-1.6871634014865036,0.7638435113735368,0.26907053615354576,-1.256132349033743,1.0314749631577944,1.7829584788450688,0.9610532631496739,-0.2809783491146427,-0.24257035056840656,-0.3910553142864252,0.32689283324026286,1.6561759757791414,-0.38373117046481797,1.0807579160785463,0.7118635903568905,-0.23166689493741122,-0.5416818478669981,-0.08122517078526117,-0.22656231731954593,0.5635185348057647,0.14856789675098997,-1.8120087812708987,1.3245213160799385,0.3331189022578235,-0.8325813734477843,-0.34271106884953095,0.8240593407901423,0.25316082322639644,-0.629100748143152,0.3587282867119045,-0.05421061158099999,0.5136820709029916,0.35219847008046334,0.1118888408356702,-0.5009776914293178,-1.5311892110740832,-0.5333322892163138,0.040080970680813205,1.2231146272989661,-0.5201315098684965,1.2038006553068699,-0.08465027395044443,-0.9138278582652118,0.6414378983978073,0.354969350237122,0.8954421100236202,-0.6472666292134046,-1.056513946407007,-1.570040392219049,-1.2741474546818654,1.7844457834759448,1.2056339616562788,-0.09922334351466192,-0.12418119236935593,-0.09304594753564631,0.5209978369634104,0.02940414975769669,-0.3123802506578211,2.4742369356488063,-1.9713181287488473,-0.5735975204868752,1.7006900186213532,-2.402734791447055,1.0936778279944939,2.0333803090702736,1.057487371729427,0.16006173831330842,0.8691611401148033,0.2725285379032768,0.9452459606749274,0.25247130405241225,1.577808150319504,-0.32314495005166965,-0.07421958977614168,-0.0395372084499977,-0.28053966583900314,0.06314836719607372,-1.164147885456253,-1.241990792477626,0.5424996831444887,0.0762638079790006,-0.1885072114926322,-1.0332559051159953,-0.14975791108762168,0.8573880162707503,-0.22317966348865478,0.44258890627463565,-0.29527062894020356,0.450617698153482,0.958752803620301,-0.20414352521042886,-0.1813524403203707,1.0373800812871405,0.22617141395236792,-0.48188534188269844,-0.16455674297785233,1.041408484231873,-0.6547109694360094,-0.5414390525585686,-0.1689537710986179
3,1,0,6,3,3,5,2,3,2.0,3,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0,-0.5917657256459135,-0.4786867068407429,-0.18465156216331388,-0.30723378560516634,-0.6809853190868054,1.299333372016459,0.7876434922380221,0.6366722041231223,-0.520417375900122,-0.04592858300571395,0.6909102235334861,2.383572837489787,0.5586946554265396,0.4669470291409295,1.0045258271123614,-0.8378155530488854,1.6932574737496502,0.5757645357738054,-0.4958533646577839,1.220156379912027,-0.1900742499537896,-0.37885689635436204,0.8693337147487977,0.6104680085596953,-1.2322288104715597,-0.39144713745035536,-0.05667343874353656,0.6260906760051284,0.1695168735782161,-0.9937249143425981,1.2214697799004268,-2.3207136539613344,-0.3331255048786312,1.6489695387801189,-0.17677227330762285,2.5588865051870124,1.1824191817347782,-0.9568411285319733,0.7183536840345559,0.3356683442719974,1.3902508646486933,-0.46275662571137643,-1.8513871751216153,1.0265682674872927,1.3874950216692157,0.7214551334508673,0.39387717629325314,0.06616983234898599,1.0189362259284962,0.2721676310434461,1.2155691551963723,0.4746088240722324,-0.026961766547241875,0.2627337032860297,-0.2400093057028256,-0.06486416059107585,-0.10175040993969454,-0.19141211264405325,-0.9602986893353194,-0.0855170115838802,-1.891392984809354,-0.4838011404423606,-1.4702116253980717,-1.1348962690465716,0.22506394105205355,-1.6298291901195812,0.42669122374658525,0.2605806549447913,1.314553711886875,-0.3491540070585257,-0.13231145334289257,-1.1928761110213846,2.2359083997014757,-0.45380819494121294,0.552308207654156,0.3480880677244466,-0.11579752954307856,-1.457386127873757,0.04968401286665751,1.5955867458017832,0.3751523999094443,-0.0948514498493006,-0.2635587924744847,-0.42691414459716787,1.7118697034290364,0.027121215147551062,0.5380365448209002,-0.08282270355793095,-1.5505387463581985,-0.6833333998661878,0.5958752218370738,1.2497504491460791,1.257573061234556,-0.14438915385431503,-0.7377902712036726,0.10079846872276692,0.9292357039696342,0.00947458646260202,-0.6726289165600441,0.8476083993149358
1,1,0,0,2,0,0,0,0,2.0,9,0.0,0,0.0,1.0,0,0,3.0,0,0.0,0,-0.9291847992396879,-0.20418791946512047,-0.24286215429848565,0.20851020715406224,-0.10775889953755824,1.4274931372020576,0.8383211823034215,0.029726561988813318,0.21214069083568515,-0.42806003502380624,0.21169490745307126,1.7641508574397398,-0.2164383445813702,0.45711009798222557,0.7884922705065022,-0.26467892029429424,0.6723714311309306,0.7882964558549823,-0.3542714623213488,0.36370245206567064,-0.5821581197189392,-0.9372340773551172,0.5518970447739208,0.10260107986132659,-0.88230010151248,-0.6290436648366103,0.4432749815023688,0.1844235593483071,-0.19169176875519897,0.32020324950485374,1.074605837616106,0.15814105808819287,-0.5743570103741019,0.7205157024509599,-0.9496556945017707,0.3743426166676628,-0.40921888684848573,-0.3401064109130573,0.23325944331242437,-0.07030065977938585,1.30757619275039,0.1819716324383609,-0.6380587458593189,0.9713609333515012,1.0345037310523646,1.2041023179786488,-0.32012519500762715,-0.2714434244418463,0.1321934021023345,-0.1389346332872606,0.9473132142199359,0.9667185215087825,0.27798442761106873,0.3786458977909487,0.13598518937367166,0.6473977650394983,0.5395527873635239,-0.770937620562666,0.6708963190288454,-0.888786773764419,-0.5097094870870933,0.6532787246186618,-1.2610782763856012,-0.18460992979379284,0.48298751425470376,-0.0418982162062922,0.10012842833236618,0.4661573462622216,0.8913823378493844,-0.18376982529306743,-0.07381418895269584,0.30053653589569573,1.1339436527254876,-0.601370066582468,0.10579499440203637,0.5223576439962186,-0.23799895405246313,-0.3665474971921789,-1.2220970853505373,0.9720540439455592,0.6788127872319678,-0.005880082536483434,0.37103818170759656,-0.09015916267951636,1.6215815904418829,0.2705747372421428,0.38963190046403245,-0.47610922825968366,-0.06062877659647883,0.11432401555954588,0.03583043277669594,0.4316505813516842,1.0248933127310051,-0.2919124615022427,-0.47789097886718007,0.08085623243965415,-0.009472107794936372,-0.35617828750521724,-0.3367989349352759,0.0097718795839521
6,1,0,9,17,15,2,7,6,2.0,46,0.0,0,0.0,0.333333333,0,0,6.666666667,4,1.3333,2,-1.3760679303604328,0.41795260170233844,-0.18612590582762273,-1.154747857449825,0.6956889702056743,1.8013547194222026,1.1879084274387632,-0.48962370060727733,-0.06527466041544847,-0.5376164435091858,0.4666391918678844,1.4408700147664326,-0.08799010711993216,0.3761367168040274,0.597694700261152,-0.1735066935286968,0.37231670054585203,0.2081736854721321,0.11642572698532057,0.2092083591511698,-0.3147434646070918,-1.532672231735382,1.208035983593776,0.6953390253647721,-0.40831599836118887,0.11820692868569904,1.0528906172695773,0.03117930474576945,-0.7336527888706974,0.4256401077845062,0.5081693069515074,0.20214965918662414,-0.6941485086534829,0.7416139664835202,-0.5727481301420457,-0.523821976405798,-0.7271686516432208,-0.30146625571536456,0.9615644002078503,-0.43784599608650693,0.8016664421449643,0.07740670678285066,-0.594707294241085,0.44661420081615977,0.5944878086496972,1.1521083660978038,-0.6712569795925605,-1.306140004875038,-0.6222215188960211,-0.24835296680435728,1.2902476905670834,0.8538342724519684,-0.36331870743413075,0.2316533713154466,-0.025045500735112615,0.5994699529582743,0.09936956885463731,-0.6457412766568464,1.1583836402738699,-1.5312166633118427,-0.46072804430672304,1.3533934719237117,-1.635406839541054,0.5300214719124229,1.2425142839668872,1.3595953639163956,0.21166151924387128,0.9118303215761167,0.0802227543854443,0.662855129263083,0.14048986826601761,1.0368071713958928,0.8591144219373111,-0.8460106161057362,0.004253471550007894,-0.09830810792990907,0.13959595855482454,-1.1414858921184883,-1.5115170135307254,0.35014660530147856,0.2839918054602843,0.24839870416153467,-0.3383520137544699,-0.09153312918444084,1.5714675594639418,-0.4810257837529087,0.9549465268693021,-0.45864215583152396,0.33250694474986586,0.30518732950544203,0.11506747741938557,-0.03902952128328893,0.16261927516257818,0.16272893963850593,-0.6226322469464144,-0.17297121732205528,0.541015780065756,-0.43312804154615286,-0.4018382522569315,-0.49370148710364226
0,1,0,0,0,0,0,0,0,2.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,-0.4487816015096241,-0.929160831361479,0.04859790492190265,0.8145064795874718,-0.5676850418233,0.6659635859450116,0.4567859964733446,0.194295871276869,-0.0732821975465925,0.7035909695952567,0.23781244987757533,1.1053695635696605,-0.11387847420639481,0.025176639831610798,0.5877249900862525,0.4620384701606207,1.426326222810866,1.2455020519325788,-0.3679147375249123,0.7023267554285517,0.3012346911610859,-1.3027036317568488,0.5762739049502308,0.8853254580827321,-0.21363556893615593,0.1922411595934463,-0.4561544993578104,0.6732005391403292,-0.21190092413803763,-0.8157037502001843,0.8075914555233485,-0.45997288561927935,0.0603821193282289,0.5790355349077111,-0.3386736440530795,1.176417432317552,0.716796819826484,-1.3865414521966617,-0.1517950104811179,0.0600470394954013,1.1907512114738743,-0.515431753521784,-1.2646283675560184,1.275769296386412,0.9563682977990609,0.6226025977467516,0.6993111692630636,0.8896963562893662,0.7830741784305909,-1.1492524344600665,0.45438975762636336,1.139114104775323,0.5415611715379253,0.3671033539082327,-0.2885322998105763,0.16560593265419865,0.1510368742337518,0.031411741778550634,-0.09270179566995916,-0.10907941087576034,-0.9789703442423081,-1.1377405234306228,-0.7581636419621363,0.26601091276097577,0.6245661183414095,-2.0860522729836677,-0.0013162458107597082,0.3239868999128535,0.9460658329078143,-0.2275161605507183,0.2241646698846293,-0.7385395472097601,1.1708756124406365,-0.27440880513094473,1.2771460010194857,0.021712539225871613,-0.49390330054966486,-1.220360032903557,-0.26150391617239155,0.3843706142761309,0.2865563753142657,-0.10957174436573518,-0.7217924015089876,-0.4652457420950986,1.3420700728705552,0.7084907879340163,-0.6893212600824908,-0.5230592508339823,-0.6499607503225968,-0.41401639703499576,-0.6349630438727191,0.5388235429228957,2.2281665199446703,-0.09615058121689622,-0.48012464476728955,0.6905155665241112,0.39396698375021866,0.025497503312489976,-1.2645057644474647,1.3404489758748912
4,1,0,7,8,6,0,7,3,2.0,22,0.0,0,0.0,0.375,0,0,4.5,1,0.75,0,-1.3162294472009395,0.8526904568325329,-0.27899408774747064,-1.3470473299933108,0.8541678698699031,1.7820423890370987,1.1677751901212332,-0.5630335278327356,0.3724939183888,-0.8350604175990362,0.7316211958829485,1.6726250256705393,-0.04483867969267523,0.5871087693891509,0.8447534367853898,-0.5906797066492371,0.40092528061503707,0.32916903191089925,0.17855644783676042,0.5887338297355146,-0.1482563076862415,-1.042089345190472,1.4724320282615468,0.32714597226949044,-0.8232035646163388,0.09939824034620372,1.0789587099945641,-0.06978827698420462,-0.3972728687089937,0.503035760446394,0.7234300185776326,0.13420392294314556,-0.8433688554230322,0.7900563039141636,-0.47058225143631915,-0.15840248174219798,-0.47821674663221325,-0.048129631401348884,1.3894371983951463,-0.29576978564489037,1.098685485557557,0.13225457007691516,-0.3655161803512543,0.24712435986404324,0.04610307530062081,0.9839017348617192,-1.2952384836334543,-1.0418420551746337,-0.8051171337163888,-0.14518367869698337,1.2518914798585017,0.611412849868895,-0.3647570816774185,0.4628975761326195,-0.19006557650662853,0.7946460658895237,0.32151441792881,-0.3684856680990272,1.3545858955485994,-1.3673363703356534,-0.5938224922599715,1.4595629419378882,-1.7837997694085177,0.0801752695112754,1.1502555155285474,0.9174729516296424,-0.024574933341628982,0.9527301077794631,0.015133809155625889,0.19581479044996022,0.036926931324362436,0.9139574894026481,1.1425227979560728,-0.6789150659240906,-0.3248727459365248,0.09772215449375565,-0.012655310454793314,-1.2066815198204626,-1.0470005831025033,0.36737213591847895,-0.18074784830872576,0.032392638282373876,0.07837106960529382,-0.35010061960761996,1.5963253749284938,-0.32784513359864664,0.9192590588425209,-0.19473258649573374,0.20572837828226745,-0.09350953753781487,0.39180046977863753,-0.273257856452738,0.23089396069399945,0.24034085270301353,-0.7300322633033876,-0.001917688762536984,0.9494756064923672,-0.7005416010952014,-0.4906084852012456,-0.645539983584527
